Hex,レジ番号,所属国,時刻,現在緯度,現在経度,出発予測緯度,出発予測経度,到着予測緯度,到着予測経度
354556,T.22-2,スペイン,2026-07-29 23:22:17,39.679,2.7008,40.1772,-3.1825,39.679,2.7008
e483ba,FAB2590,ブラジル,2026-07-29 23:22:17,-7.655,-41.7625,-4.1178,-38.9191,-7.655,-41.7625
c2c363,330002,カナダ,2026-07-29 23:23:21,45.7769,1.5113,50.0401,4.9762,45.7769,1.5113
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:23:21,41.0585,12.208,41.0817,19.3211,41.0585,12.208
341390,T.18-1,スペイン,2026-07-29 23:23:21,40.432,-3.2988,40.4899,-3.4542,40.432,-3.2988
354556,T.22-2,スペイン,2026-07-29 23:23:21,39.7101,2.7755,40.1772,-3.1825,39.7101,2.7755
e483ba,FAB2590,ブラジル,2026-07-29 23:23:21,-7.7347,-41.8155,-4.1178,-38.9191,-7.7347,-41.8155
c2c363,330002,カナダ,2026-07-29 23:24:23,45.633,1.447,50.0401,4.9762,45.633,1.447
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:24:23,41.0514,11.9955,41.0817,19.3211,41.0514,11.9955
341390,T.18-1,スペイン,2026-07-29 23:24:23,40.3925,-3.1978,40.4899,-3.4542,40.3925,-3.1978
354556,T.22-2,スペイン,2026-07-29 23:24:23,39.7473,2.8683,40.1772,-3.1825,39.7473,2.8683
e483ba,FAB2590,ブラジル,2026-07-29 23:24:23,-7.8337,-41.8813,-4.1178,-38.9191,-7.8337,-41.8813
c2c363,330002,カナダ,2026-07-29 23:25:25,45.529,1.4007,50.0401,4.9762,45.529,1.4007
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:25:25,41.0462,11.8428,41.0817,19.3211,41.0462,11.8428
341390,T.18-1,スペイン,2026-07-29 23:25:25,40.3591,-3.1125,40.4899,-3.4542,40.3591,-3.1125
3542c3,T.18-3,スペイン,2026-07-29 23:25:25,40.0113,-13.4361,40.0113,-13.4361,40.0113,-13.4361
354556,T.22-2,スペイン,2026-07-29 23:25:25,39.7652,2.9377,40.1772,-3.1825,39.7652,2.9377
e483ba,FAB2590,ブラジル,2026-07-29 23:25:25,-7.9341,-41.9482,-4.1178,-38.9191,-7.9341,-41.9482
c2c363,330002,カナダ,2026-07-29 23:26:30,45.39,1.3498,50.0401,4.9762,45.39,1.3498
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:26:30,41.0395,11.6441,41.0817,19.3211,41.0395,11.6441
341390,T.18-1,スペイン,2026-07-29 23:26:30,40.3093,-2.9856,40.4899,-3.4542,40.3093,-2.9856
3542c3,T.18-3,スペイン,2026-07-29 23:26:30,40.0112,-13.427,40.0113,-13.4361,40.0112,-13.427
354556,T.22-2,スペイン,2026-07-29 23:26:30,39.7769,3.0289,40.1772,-3.1825,39.7769,3.0289
e483ba,FAB2590,ブラジル,2026-07-29 23:26:30,-8.0583,-42.031,-4.1178,-38.9191,-8.0583,-42.031
c2c363,330002,カナダ,2026-07-29 23:27:33,45.2431,1.3048,50.0401,4.9762,45.2431,1.3048
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:27:33,41.0321,11.4385,41.0817,19.3211,41.0321,11.4385
341390,T.18-1,スペイン,2026-07-29 23:27:33,40.252,-2.8391,40.4899,-3.4542,40.252,-2.8391
3542c3,T.18-3,スペイン,2026-07-29 23:27:33,40.0112,-13.427,40.0113,-13.4361,40.0112,-13.427
354556,T.22-2,スペイン,2026-07-29 23:27:33,39.7055,3.0366,40.1772,-3.1825,39.7055,3.0366
e483ba,FAB2590,ブラジル,2026-07-29 23:27:33,-8.1726,-42.1071,-4.1178,-38.9191,-8.1726,-42.1071
c2c363,330002,カナダ,2026-07-29 23:28:35,45.1131,1.2652,50.0401,4.9762,45.1131,1.2652
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:28:35,41.0251,11.2552,41.0817,19.3211,41.0251,11.2552
341390,T.18-1,スペイン,2026-07-29 23:28:35,40.1985,-2.7044,40.4899,-3.4542,40.1985,-2.7044
3542c3,T.18-3,スペイン,2026-07-29 23:28:35,40.0112,-13.427,40.0113,-13.4361,40.0112,-13.427
354556,T.22-2,スペイン,2026-07-29 23:28:35,39.6694,2.9693,40.1772,-3.1825,39.6694,2.9693
e483ba,FAB2590,ブラジル,2026-07-29 23:28:35,-8.2756,-42.1759,-4.1178,-38.9191,-8.2756,-42.1759
c2c363,330002,カナダ,2026-07-29 23:29:37,45.0102,1.2339,50.0401,4.9762,45.0102,1.2339
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:29:37,41.0192,11.1147,41.0817,19.3211,41.0192,11.1147
341390,T.18-1,スペイン,2026-07-29 23:29:37,40.1556,-2.5963,40.4899,-3.4542,40.1556,-2.5963
3542c3,T.18-3,スペイン,2026-07-29 23:29:37,40.0112,-13.427,40.0113,-13.4361,40.0112,-13.427
354556,T.22-2,スペイン,2026-07-29 23:29:37,39.6453,2.9187,40.1772,-3.1825,39.6453,2.9187
e483ba,FAB2590,ブラジル,2026-07-29 23:29:37,-8.3526,-42.2273,-4.1178,-38.9191,-8.3526,-42.2273
c2c363,330002,カナダ,2026-07-29 23:30:40,44.8548,1.1869,50.0401,4.9762,44.8548,1.1869
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:30:40,41.0099,10.8929,41.0817,19.3211,41.0099,10.8929
341390,T.18-1,スペイン,2026-07-29 23:30:40,40.0893,-2.4295,40.4899,-3.4542,40.0893,-2.4295
3542c3,T.18-3,スペイン,2026-07-29 23:30:40,40.0106,-12.975,40.0113,-13.4361,40.0106,-12.975
354556,T.22-2,スペイン,2026-07-29 23:30:40,39.6121,2.8484,40.1772,-3.1825,39.6121,2.8484
e483ba,FAB2590,ブラジル,2026-07-29 23:30:40,-8.475,-42.3091,-4.1178,-38.9191,-8.475,-42.3091
c2c363,330002,カナダ,2026-07-29 23:31:42,44.7356,1.151,50.0401,4.9762,44.7356,1.151
600806,4K-AI06,アゼルバイジャン,2026-07-29 23:31:42,41.0025,10.7278,41.0817,19.3211,41.0025,10.7278
